Abbreviations,Abréviation
Herbicides,Herbicide
Heredity,Hérédité
Heritage,Patrimoine
Heritage buildings,Édifice patrimonial
Heritage conservation,Protection du patrimoine
Heritage languages,Langue ancestrale
Hibernation,Hibernation
High technology,Technologie de pointe
Hiking,Randonnée pédestre
Historic sites,Lieu historique
Historical hydrometric data,Données hydrométriques historiques
Historical research,Recherche historique
Historical societies,Société d'histoire
History,Histoire
Hockey,Hockey
Hogs,Porc
Holidays,Jour férié
Home-based businesses,Entreprise domiciliaire
Home economics,Économie domestique
Home education,Enseignement à domicile
Home renovations,Rénovation domiciliaire
Homelessness,Sans-abri
Homeopathy,Homéopathie
Homicide,Homicide
Honey,Miel
Horses,Cheval
Horticulture,Horticulture
Hospitality industry,Industrie hôtelière
House of Commons,Chambre des communes
Household equipment,Équipement ménager
Household finance,Crédit ménager
Household income,Revenu familial
Housing,Logement
Housing assistance,Aide au logement
Hovercraft,Aéroglisseur
Human beings,Être humain
Human capital,Capital humain
Human resources,Ressources humaines
Human rights,Droits de la personne
Human security,Sécurité humaine
Human trafficking,Traite de personnes
Humanitarian aid,Aide humanitaire
Humanitarian crisis,Crise humanitaire
Humanities,Sciences humaines
Humidity,Humidité
Humour,Humour
Hunger,Faim
Hunting (Sport),Chasse sportive
Hunting permits,Permis de chasse
Hydroelectric plants,Centrale hydroélectrique
Hydrogeology,Hydrogéologie
Hydrography,Hydrographie
Hydrology,Hydrologie
Hydrometric network,Réseau hydrométrique
Hydrometric station,Station hydrométrique
Hydrometry,Hydrométrie
Hydroponics,Culture hydroponique
Hydropower,Hydroélectricité
Hygiene,Hygiène
Ice,Glace
Ice caps,Calotte glaciaire
Icebreakers,Brise-glace
Ichthyology,Ichtyologie
Identification,Identification
Idioms,Idiome
Igneous rocks,Roche ignée
Illustrations,Illustration
Immigrants,Immigrant
Immigration,Immigration
Immigration policy,Politique d'immigration
Immunization,Immunisation
Impact studies,Étude d'impact
Implementation,Implantation
Imports,Importation
Imprisonment,Emprisonnement
Incentives,Incitatif
Income,Revenu
Income security,Sécurité du revenu
Income tax,Impôt sur le revenu
Incorporation,Incorporation
Indemnities,Indemnité
Independent living,Autonomie personnelle
Indexes,Index
Indicators,Indicateur
Indigenous affairs,Affaires autochtones
Indigenous businesses,Entreprise autochtone
Indigenous culture,Culture autochtone
Indigenous governments,Gouvernement autochtone
Indigenous lands,Terres autochtones
Indigenous languages,Langue autochtone
Indigenous law,Droit autochtone
Indigenous peoples,Autochtones
Indigenous policing,Police des autochtones
Indigenous programs,Programme pour autochtones
Indigenous reserves,Réserve autochtone
Indigenous rights,Droits des autochtones
Indigenous youth,Jeune autochtone
Industrial buildings,Bâtiment industriel
Industrial design,Dessin industriel
Industrial development,Développement industriel
Industrial management,Gestion industrielle
Industrial policy,Politique industrielle
Industrial productivity,Productivité industrielle
Industrial products,Produit industriel
Industrial research,Recherche industrielle
Industrial technology,Technologie industrielle
Industrial waste,Déchets industriels
Industrial workers,Travailleur de l'industrie
Industry,Industrie
Industry analysis,Analyse de l'industrie
Industry assistance,Aide à l'industrie
Industry classification,Classification des industries
Inequality,Inégalité
Infant care,Soin du nouveau-né
Infant nutrition,Alimentation du nouveau-né
Infants,Nouveau-né
Infected blood,Sang contaminé
Infectious diseases,Maladie infectieuse
Inflation,Inflation
Influenza,Grippe
Information,Information
Information bulletin,Bulletin d'information
Information dissemination,Diffusion de l'information
Information management,Gestion de l'information
Information policy,Politique d'information
Information requests,Demande d'information
Information systems,Système d'information
Information technology,Technologie de l'information
Infrastructures,Infrastructure
Inheritance,Héritage
Initial public offering,Placement initial
Injunctions,Injonction
Injuries,Blessure
Inland waters,Eaux intérieures
Inmates,Détenu
Innovation,Innovation
Innu,Innu
Inquiry,Enquête publique
Insecticides,Insecticide
Insects,Insecte
Inspection,Inspection
Instructional materials,Matériel didactique
Insulation,Isolation thermique
Insurable earnings,Rémunération assurable
Insurance,Assurance
Insurance companies,Compagnie d'assurances
Integrated management,Gestion intégrée
Integration,Intégration
Intellectual capital,Capital intellectuel
Intellectual disabilities,Déficience intellectuelle
Intellectual property,Propriété intellectuelle
Intelligent systems,Système intelligent
Intelligent transportation systems,Système de transport intelligent
Intercity transport,Transport interurbain
Interest groups,Groupe d'intérêt
Interest rates,Taux d'intérêt
Intergovernmental organizations,Organisme intergouvernemental
Intergovernmental relations,Relations intergouvernementales
Interlibrary loans,Prêt entre bibliothèques
Internal audits,Audit interne
Internal migration,Migration interne
International adoption,Adoption internationale
International agreements,Accord international
International business development,Développement du commerce international
International cooperation,Coopération internationale
International courts,Tribunal international
International development,Développement international
International economics,Économie internationale
International exhibitions,Exposition internationale
International finance,Finances internationales
International law,Droit international
International markets,Marché international
International organizations,Organisme international
International programs,Programme international
International security,Sécurité internationale
International telecommunications,Télécommunications internationales
International trade,Commerce extérieur
International transport,Transport international
International travel,Voyage international
Internet,Internet
Internships,Stage
Interpersonal relations,Relations interpersonnelles
Interpretation,Interprétation
Interprovincial relations,Relations interprovinciales
Interprovincial transport,Transport interprovincial
Intersex people,Personne intersexuelle
Interviews,Entrevue
Intimidation,Intimidation
Intranets,Intranet
Inuit,Inuit
Invasive species,Espèce envahissante
Inventions,Invention
Inventories,Inventaire
Investigations,Enquête
Investigative bodies,Organisme d'enquête
Investment policy,Politique d'investissement
Investments,Investissement
Irradiation,Irradiation
Irregular migration,Migration clandestine
Irrigation,Irrigation
Isolated communities,Communauté isolée
Jewellery,Joaillerie
Job applications,Demande d'emploi
Job classification,Classification des emplois
Job creation,Création d'emploi
Job description,Description de poste
Job promotion,Promotion en emploi
Job search,Recherche d'emploi
Journalism,Journalisme
Judges,Juge
Judicial appointments,Nomination judiciaire
Jurisprudence,Philosophie du droit
Justice system,Système judiciaire
Juvenile court,Tribunal de la jeunesse
Knowledge based economy,Économie du savoir
Knowledge management,Gestion du savoir
Knowledge transfer,Transmission du savoir
Labelling,Étiquetage
Laboratories,Laboratoire
Labour,Travail
Labour code,Code du travail
Labour disputes,Conflit de travail
Labour force,Main-d'oeuvre
Labour law,Droit du travail
Labour market,Marché du travail
Labour mobility,Mobilité de la main-d'oeuvre
Labour relations,Relations de travail
Labour standards,Normes du travail
Labour union training,Formation syndicale
Labour unions,Syndicat
Lakes,Lac
Land claims,Revendication territoriale
Land cover,Couverture du sol
Land management,Gestion des terres
Landmines,Mine terrestre
Landslides,Glissement de terrain
Language education,Enseignement des langues
Language groups,Groupe linguistique
Language minorities,Minorité linguistique
Language policy,Politique linguistique
Language rights,Droits linguistiques
Language training,Formation linguistique
Languages,Langue
Law,Droit
Lead,Plomb
Leader of the Official Opposition,Chef de l'Opposition officielle
Leadership,Leadership
Learning,Apprentissage
Learning disabilities,Trouble d'apprentissage
Lease,Bail
Leasing,Location
Leave of absence,Congé
Legal aid,Aide juridique
Legal documents,Document juridique
Legal issues,Questions juridiques
Legal obligations,Obligation légale
Legal rights,Garantie juridique
Legal services,Services juridiques
Legislation,Législation
Legislative assemblies,Assemblée législative
Legislative writing,Rédaction des lois
Legumes,Légumineuse
Lentils,Lentille
Lesbians,Lesbienne
Lettuce,Laitue
LGBTQ2 people,Personne LGBTQ2
Liability,Créance
Libraries,Bibliothèque
Licensing,Attribution de permis
Lieutenant Governor,Lieutenant-gouverneur
Life expectancy,Espérance de vie
Life insurance,Assurance-vie
Life sciences,Sciences de la vie
Life skills,Habiletés fondamentales
Lifestyle,Mode de vie
Lighthouses,Phare
Lighting,Éclairage
Linguistic diversity,Diversité linguistique
Linguistic duality,Dualité linguistique
Literacy,Alphabétisation
Literature,Littérature
Litigation,Litige
Livestock,Bétail
Living organisms,Organisme vivant
Loans,Prêt
Lobbying,Lobbying
Local governments,Administration locale
Lockers,Casier
Locks,Écluse
Logging industry,Industrie de l'exploitation forestière
Logistical support,Soutien logistique
Logistics,Logistique
Lotteries,Loterie
Low income,Faible revenu
Lumber industry,Industrie du bois d'oeuvre
Machine readable data,Données lisibles par machine
Macroeconomic analysis,Analyse macro-économique
Magnetism,Magnétisme
Maintenance,Entretien
Mammals,Mammifère
Management,Gestion
Management information systems,Système d'information de gestion
Management tool,Outil de gestion
Mandate,Mandat
Manufacturing industry,Industrie de la fabrication
Manure,Fumier
Manuscripts,Manuscrit
Maple products,Produit de l'érable
Maps,Carte
Marijuana,Marijuana
Marinas,Port de plaisance
Marine accidents,Accident maritime
Marine biology,Biologie marine
Marine conservation areas,Aire marine de conservation
Marine equipment,Équipement maritime
Marine heritage,Patrimoine maritime
Marine installations,Installations maritimes
Marine safety,Sécurité maritime
Marine safety equipment,Équipement de sécurité nautique
Marital status,État matrimonial
Maritime law,Droit maritime
Market analysis,Analyse de marché
Market development,Développement des marchés
Market entry,Entrée sur le marché
Market place,Lieu du marché
Marketing,Marketing
Marketing campaigns,Campagne de marketing
Marketplace services,Services aux marchés
Markets,Marché
Marriage,Mariage
Material management,Gestion du matériel
Materials technology,Technologie des matériaux
Maternity benefits,Prestation de maternité
Mathematics,Mathématiques
Measurement,Mesure
Meat,Viande
Mechanical engineering,Génie mécanique
Media,Média
Media monitoring,Surveillance des médias
Media relations,Relations avec les médias
Mediation,Médiation
Medical law,Droit médical
Medical products,Produit médical
Medical products industry,Industrie des produits médicaux
Medical records,Dossier médical
Medical research,Recherche médicale
Medical technology,Technologie médicale
Medicinal plants,Plante médicinale
Medicine,Médecine
Meetings,Réunion
Members of the House of Commons,Député fédéral
Members of the Senate,Sénateur
Men,Homme
Mental health,Santé mentale
Mentoring,Mentorat
Mercury,Mercure
Mergers,Fusion
Merit,Mérite
MERS (Disease),MERS-CoV (virus)
Metadata,Métadonnées
Metals,Métal
Metalworking industry,Industrie métallurgique
Metamorphic rocks,Roche métamorphique
Metamorphism,Métamorphisme
Meteorological data,Données météorologiques
Meteorology,Météorologie
Methadone,Méthadone
Methodology,Méthodologie
Métis,Métis
Metric system,Système métrique
Microbiology,Microbiologie
Microeconomic analysis,Analyse micro-économique
Microeconomic policy,Politique microéconomique
Microelectronics,Microélectronique
Micrographics,Micrographie
Microorganisms,Microorganisme
Middle East Respiratory Syndrome,Syndrome respiratoire du Moyen-Orient
Migrant workers,Travailleur migrant
Migration,Migration
Migratory birds,Oiseau migrateur
Military aircraft,Aéronef militaire
Military architecture,Architecture militaire
Military aviation,Aviation militaire
Military colleges,Collège militaire
Military command,Commandement militaire
Military communications,Communications militaires
Military engineering,Génie militaire
Military history,Histoire militaire
Military installations,Installations militaires
Military law,Droit militaire
Military personnel,Personnel militaire
Military police,Police militaire
Military technology,Technologie militaire
Military training,Formation militaire
Milk,Lait
Minerals,Minerai
Minimum wage,Salaire minimum
Mining accidents,Accident minier
Mining industry,Industrie minière
Mining technology,Technologie minière
Ministers,Ministre
Minorities,Minorité
Minority language education,Enseignement dans la langue de la minorité
Minutes,Procès-verbal
Misappropriation of funds,Détournement de fonds
Mission statements,Énoncé de mission
Model forests,Forêt modèle
Modelling,Modélisation
Models,Modèle
Modernization,Modernisation
Molluscs,Mollusque
Monarchy,Monarchie
Monetary policy,Politique monétaire
Monkeypox,Variole simienne
Monographic series,Collection de monographies
Monuments,Monument
Moratorium,Moratoire
Mortgage assistance,Aide hypothécaire
Mortgage insurance,Assurance hypothécaire
Mortgage loans,Prêt hypothécaire
Mother tongue,Langue maternelle
Motor vehicles,Véhicule automobile
Mountains,Montagne
Multiculturalism,Multiculturalisme
Multilateral agreement on investment,Accord multilatéral sur l'investissement
Multilateral agreements,Accord multilatéral
Multilateral programs,Programme multilatéral
Multilingualism,Multilinguisme
Multimedia,Multimédia
Multinational corporations,Multinationale
Municipal buildings,Édifice municipal
Municipalities,Municipalité
Museum collections,Collection muséale
Museums,Musée
Music,Musique
Music industry,Industrie de la musique
Music scores,Partition musicale
Mutual insurance companies,Société mutuelle d'assurances
Nanotechnology,Nanotechnologie
Narcotic control,Lutte anti-drogue
Narcotics,Drogue
National anthems,Hymne national
National archives,Archives nationales
National bibliographies,Bibliographie nationale
National Capital,Capitale nationale
National debt,Dette nationale
National heritage,Patrimoine national
National income,Revenu national
National libraries,Bibliothèque nationale
National parks,Parc national
National security,Sécurité nationale
National symbols,Symbole national
Nationalism,Nationalisme
Natural disasters,Catastrophe naturelle
Natural gas,Gaz naturel
Natural heritage,Patrimoine naturel
Natural history,Histoire naturelle
Natural resources,Ressources naturelles
Natural sciences,Sciences naturelles
Nature conservation,Conservation de la nature
Nautical charts,Carte marine
Navigation,Navigation
Navigation systems,Système d'aide à la navigation
Needs,Besoins
Negotiations,Négociation
Networks,Réseau
Newsletters,Bulletin
Newspapers,Journal
Nomenclature,Nomenclature
Non-profit organizations,Organisme à but non lucratif
Non-renewable resources,Ressources non renouvelables
Non-repayable contributions,Contribution non remboursable
Non-Status Indians,Indien non inscrit
Nongovernmental organizations,Organisation non gouvernementale
Nonprescription drugs,Médicament en vente libre
North-South relations,Relations nord-sud
Northern Canada,Nord canadien
Northern development,Développement du Nord
Northern studies,Études nordiques
Northerners,Habitant du Nord
"Novel coronavirus disease, 2019","Nouvelle maladie à coronavirus, 2019"
Nuclear energy,Énergie nucléaire
Nuclear facilities,Installations nucléaires
Nuclear medicine,Médecine nucléaire
Nuclear power plants,Centrale nucléaire
Nuclear technology,Technologie nucléaire
Nuclear weapons,Arme nucléaire
Numeracy,Numératie
Numismatics,Numismatique
Nutrition,Alimentation
Oats,Avoine
Obesity,Obésité
Objectives,Objectif
Occupational accidents,Accident de travail
Occupational diseases,Maladie professionnelle
Occupational health,Santé au travail
Occupational safety,Sécurité au travail
Occupations,Profession
Ocean energy,Énergie marine
Ocean floor,Fond marin
Oceanography,Océanographie
Oceans,Océan
Offences,Infraction
Office appliances,Accessoire de bureau
Office automation,Bureautique
Office consolidations,Codification administrative
Office equipment,Équipement de bureau
Office management,Gestion administrative
Office supplies,Fournitures de bureau
Official languages,Langue officielle
Official languages promotion,Promotion des langues officielles
Official residences,Résidence officielle
Offprints,Tiré à part
Offshore area,Zone extracôtière
Offshore drilling,Forage en mer
Oil sands,Sables bitumineux
Oil spills,Déversement de pétrole
Old age,Vieillesse
Olympic games,Jeux olympiques
Ombudsman,Protecteur du citoyen
Open data,Données ouvertes
Open government,Gouvernement ouvert
Operations,Fonctionnement
Oral communication,Communication orale
Oral health,Santé buccodentaire
Orchestras,Orchestre
Organ transplantation,Transplantation d'organes
Organic foods,Aliment biologique
Organizations,Organisation
Organized crime,Crime organisé
Ornamental plants,Plante ornementale
Ornaments,Parure
Ornithology,Ornithologie
Outdoor recreation,Loisir de plein air
Outfitters,Pourvoirie
Outreach services,Dépistage
Ozone,Ozone
Ozone depletion,Appauvrissement de l'ozone
Packaging,Emballage
Pain,Douleur
Painting,Peinture
Palaeontology,Paléontologie
Paleobotany,Paléobotanique
Panamerican games,Jeux panaméricains
Pansexual people,Personne pansexuelle
Parasites,Parasite
Parenting,Art d'être parent
Parents,Parent
Pari-mutuel betting,Pari mutuel
Parking,Stationnement
Parks,Parc
Parliament,Parlement
Parliamentary committees,Commission parlementaire
Parliamentary leaders,Leader parlementaire
Parliamentary procedure,Procédure parlementaire
Parole,Libération conditionnelle
Part-time employment,Emploi à temps partiel
Part-time students,Étudiant à temps partiel
Participation,Participation
Partnerships,Partenariat
Passports,Passeport
Patented medicines,Médicament breveté
Patents,Brevet
Paternity benefits,Prestation de paternité
Pay equity,Équité salariale
Peace,Paix
Peacekeeping,Maintien de la paix
Peacekeeping forces,Forces de maintien de la paix
Peas,Pois
Pensions,Pension
Perceptions,Perception
Performance assessment,Évaluation du rendement
Performance indicators,Indicateur de performance
Performing arts,Arts d'interprétation
Perinatal care,Soins périnataux
Periodicals,Publication en série
Permafrost,Pergélisol
Permits,Permis
Personal assets,Biens mobiliers
Personal care products,Produit de soins personnels
Personal digital assistant,Assistant numérique personnel
Personal finance,Finances personnelles
Personal income,Revenu individuel
Personal income tax,Impôt sur le revenu des particuliers
Personal information,Renseignements personnels
Personal information banks,Fichier de renseignements personnels
Personnel management,Gestion du personnel
Persons with disabilities,Personne handicapée
Pesticides,Pesticide
Pests,Organisme nuisible
Petroleum,Pétrole
Petroleum industry,Industrie pétrolière
Petrology,Pétrologie
Pharmaceutical industry,Industrie pharmaceutique
Pharmacology,Pharmacologie
Philately,Philatélie
Philosophy,Philosophie
Photographs,Photographie (Image)
Photography,Photographie (Art)
Physical disabilities,Déficience physique
Physical sciences,Sciences physiques
Physics,Physique
Physiology,Physiologie
Pilotage,Pilotage
Pioneers,Pionnier
Pipelines,Pipeline
Plain language,Langage simple
Planetariums,Planétarium
Planning,Planification
Plant diseases,Maladie des plantes
Plants,Plante
Plastics industry,Industrie des matières plastiques
Pleasure craft,Bateau de plaisance
Poaching,Braconnage
Poetry,Poésie
Poisoning,Empoisonnement
Polar regions,Région polaire
Polar sciences,Science polaire
Police services,Service de police
Policing,Maintien de l'ordre public
Policy,Politique
Policy development,Élaboration des politiques
Policy instruments,Instrument de politique
Policy review,Examen des politiques
Political parties,Parti politique
Political science,Science politique
Politics,Vie politique
Pollutants,Polluant
Pollution,Pollution
Pollution control,Lutte contre la pollution
Pollution prevention,Prévention de la pollution
Popular culture,Culture populaire
Population,Population
Population distribution,Répartition de la population
Pornography,Pornography
Portfolio,Portefeuille
Position papers,Exposé de principe
Postal services,Service postal
Posters,Affiche
Postsecondary education,Enseignement postsecondaire
Potatoes,Pomme de terre
Pottery,Poterie
Poultry,Volaille
Poverty,Pauvreté
Poxvirus diseases,Maladies à poxvirus
Prairie ecosystems,Écosystème prairial
Precious metals,Métal précieux
Precipitation,Précipitation
Pregnancy,Grossesse
Premiums,Prime
Preschool education,Éducation préscolaire
Prescription drugs,Médicament d'ordonnance
Press releases,Communiqué de presse
Prevention,Prévention
Preventive medicine,Médecine préventive
Price indexes,Indice des prix
Price regulation,Réglementation des prix
Prices,Prix
Pricing,Établissement des prix
Primary industry,Industrie primaire
Primates,Primate
Prime Minister,Premier ministre
Printing,Imprimerie
Prints,Gravure
Privacy,Vie privée
Private investments,Investissement privé
Private pensions,Pension privée
Private schools,École privée
Private sector,Secteur privé
Privatization,Privatisation
Pro bono legal services,Services juridiques bénévoles
Probate,Homologation
Proceeds of crime,Produit de la criminalité
Processing,Traitement
Product codes,Code de produit
Product development,Développement de produit
Product recalls,Rappel de produit
Production,Production
Productivity,Productivité
Products,Produit
Professional associations,Association professionnelle
Professional development,Développement professionnel
Profiles,Profil
Profitability,Rentabilité
Program assessment,Évaluation de programme
Program delivery,Réalisation de programme
Program development,Élaboration de programme
Program management,Gestion de programme
Program review,Révision de programme
Programming,Programmation
Programs,Programme
Progress reports,Rapport d'étape
Prohibition,Interdiction
Project management,Gestion de projet
Pronunciation,Prononciation
Propaganda,Propagande
Propane,Propane
Property,Biens
Property and casualty insurance,Assurance sur les biens et risques
Property management,Gestion des biens
Property tax,Impôt foncier
Prospecting,Prospection
Prostitution,Prostitution
Protected species,Espèce protégée
Protocol,Protocole
Prototyping,Prototypage
Provinces,Province
Provincial governments,Gouvernement provincial
Provincial institutions,Institution provinciale
Provincial parks,Parc provincial
Provincial taxes,Impôt provincial
Psychology,Psychologie
Public-private partnerships,Partenariat public-privé
Public access,Accès public
Public accounts,Comptes publics
Public administration,Administration publique
Public architecture,Architecture publique
Public buildings,Édifice public
Public diplomacy,Diplomatie ouverte
Public expenditures,Dépenses publiques
Public finance,Finances publiques
Public funding,Financement public
Public hearings,Audience publique
Public libraries,Bibliothèque publique
Public notices,Avis public
Public opinion,Opinion publique
Public opinion polls,Sondage d'opinion
Public pensions,Pension publique
Public relations,Relations publiques
Public safety,Sécurité publique
Public schools,École publique
Public sector,Secteur public
Public service,Fonction publique
Public transit,Transport en commun
Public works,Travaux publics
Publishing,Édition
Pulp and paper industry,Industrie des pâtes et papiers
Purchasing,Achat
Qualifications,Qualifications
Quality control,Contrôle de la qualité
Quality of life,Qualité de vie
Quality of service,Qualité de service
Quality standards,Norme de qualité
Quarantine,Quarantaine
Quarterly financial reports,Rapport financier trimestriel
Queer people,Personne queer
Questionnaires,Questionnaire
Quilting,Matelassage
Race relations,Relations raciales
Racial discrimination,Discrimination raciale
Radar,Radar
Radiation,Rayonnement
Radio,Radio
Radioactive materials,Matière radioactive
Radioactive waste,Déchets radioactifs
Radioactivity,Radioactivité
Rail companies,Compagnie ferroviaire
Rail transport,Transport ferroviaire
Rail transport industry,Industrie du transport ferroviaire
Railway accidents,Accident ferroviaire
Railway installations,Installations ferroviaires
Railway networks,Réseau ferroviaire
Railway safety,Sécurité ferroviaire
Rates,Taux
Reading,Lecture
Real-time hydrometric data,Données hydrométriques en temps réel
Real estate,Immobilier
Real estate industry,Industrie de l'immobilier
Real property services,Services immobiliers
Receiver General,Receveur général
Recipients,Bénéficiaire
Reciprocal agreements,Accord de réciprocité
Record of employment,Relevé d'emploi
Records,Dossier
Records disposal,Élimination des documents
Records management,Gestion des documents
Records retention,Conservation des documents
Recourse,Recours
Recoveries,Recouvrement
Recreation,Loisir
Recreational facilities,Installations récréatives
Recruiting,Recrutement
Recyclable materials,Matière recyclable
Recycling,Recyclage
Red tape burdens,Fardeau administratif
Red tape reduction,Réduction du fardeau administratif
Reference services,Service de référence
Reforestation,Reboisement
Reform,Réforme
Refrigeration equipment,Équipement de réfrigération
Refugees,Réfugié
Regional cooperation,Coopération régionale
Regional development,Développement régional
Regional markets,Marché régional
Regions,Région
Registers,Registre
Registration,Enregistrement
Regulation,Réglementation
Regulations,Règlements
Regulatory agencies,Organisme de réglementation
Rehabilitation,Réadaptation
Religion,Religion
Religious architecture,Architecture religieuse
Religious buildings,Édifice religieux
Religious heritage,Patrimoine religieux
Religious history,Histoire religieuse
Remote sensing,Télédétection
Renewable energy,Énergie renouvelable
Renewable resources,Ressources renouvelables
Repayable contributions,Contribution remboursable
Reports,Rapport
Representatives,Représentant
Reproductive technology,Technologie de la reproduction
Reprography,Reprographie
Reptiles,Reptile
Rescue,Sauvetage
Rescue equipment,Équipement de sauvetage
Research,Recherche
Research and development,Recherche et développement
Research chairs,Chaire de recherche
Research grants,Subvention de recherche
Research institutes,Institut de recherche
Residential schools,École résidentielle
Resignation,Démission
Resource allocation,Allocation des ressources
Resource development,Exploitation des ressources
Resources conservation,Conservation des ressources
Resources management,Gestion des ressources
Respiratory diseases,Maladie respiratoire
Restaurants,Restaurant
Restoration,Restauration
Restructuring,Restructuration
Retail trade,Commerce de détail
Retention of staff,Maintien de l'effectif
Retirement,Retraite
Retraining,Formation de reconversion
Review,Examen
Revision,Révision
Risk management,Gestion des risques
Risk premiums,Prime de risque
Rivers,Fleuve / Rivière
Road accidents,Accident de la route
Road construction,Construction routière
Road maps,Carte routière
Road networks,Réseau routier
Road safety,Sécurité routière
Road transport,Transport routier
Robotics,Robotique
Rodenticides,Rodenticide
Rodents,Rongeur
Roles,Rôle
Royalties,Redevances
Rubber industry,Industrie du caoutchouc
Rural communities,Communauté rurale
Rural development,Développement rural
Rural environment,Milieu rural
Safety,Sécurité
Safety education,Enseignement de la sécurité
Safety equipment,Équipement de sécurité
Safety measures,Mesure de sécurité
Safety regulations,Réglementation en matière de sécurité
Safety standards,Norme de sécurité
Sailboats,Voilier
Salaries,Salaire
Sales,Vente
Sales taxes,Taxe de vente
Salt water,Eau salée
Salt water fish,Poisson de mer
Same-sex couples,Couple de même sexe
Samples,Échantillon
SARS-CoV-2 disease,Maladie du Sars-Cov-2
Satellite imagery,Imagerie satellite
Satellite images,Image satellite
Satellites,Satellite
Savings,Épargne
Scholarships,Bourse d'études
School boards,Commission scolaire
Schools,École
Science education,Enseignement des sciences
Science policy,Politique scientifique
Sciences,Sciences
Scientific equipment,Équipement scientifique
Scientific information,Information scientifique
Scientific research,Recherche scientifique
Scientists,Scientifique
Screening (Medicine),Dépistage (Médecine)
Sculpture,Sculpture
Seafood,Fruits de mer
Sealing,Chasse au phoque
Seals,Phoque
Seas,Mer
Seasonal employment,Emploi saisonnier
Second language assessment,Évaluation de la langue seconde
Second language education,Enseignement de la langue seconde
Second languages,Langue seconde
Secondary education,Enseignement secondaire
Secondary industry,Industrie secondaire
Secondary schools,École secondaire
Sections,Section
Sector analysis,Analyse sectorielle
Securities,Valeurs mobilières
Security,Sécurité
Security intelligence,Renseignement de sécurité
Security investigations,Enquête de sécurité
Sedimentary rocks,Roche sédimentaire
Sedimentology,Sédimentologie
Sediments,Sédiment
Seismology,Sismologie
Seizure (of property),Saisie
Selection,Sélection
Self employment,Emploi autonome
Self government,Autonomie gouvernementale
Semen,Sperme
Senate,Sénat
Seniors,Aîné
Service agreements,Accord de service
Service contracts,Contrat de service
Service industry,Industrie des services
Services,Service
Severance pay,Indemnité de cessation d'emploi
Severe acute respiratory syndrome,Syndrome respiratoire aigu sévère
Sewing,Couture
Sexual harassment,Harcèlement sexuel
Sexual offences,Infraction sexuelle
Sexual orientation,Orientation sexuelle
Sexually transmitted diseases,Maladie transmise sexuellement
Shares,Action
Sheep,Mouton
Shipbuilding,Construction navale
Shipping,Expédition
Ships,Navire
Shoe industry,Industrie de la chaussure
Shortage,Pénurie
Side effects,Effet secondaire
Signs,Signalisation
Silver,Argent (Minerai)
Single parent families,Famille monoparentale
Site management,Gestion de site
Skating,Patinage
Ski trails,Piste de ski
Skiing,Ski
Skills,Habiletés
Skills transfer,Transfert d'habiletés
Slaughtering,Abattage d'animaux
Slides,Diapositive
Small business loans,Prêt à la petite entreprise
Small businesses,Petite entreprise
Smog,Smog
Smoking,Tabagisme
Smoking prevention,Prévention du tabagisme
Snow,Neige
Social assistance,Aide sociale
Social conditions,Conditions sociales
Social development,Développement social
Social equity,Équité sociale
Social finance,Finance sociale
Social history,Histoire sociale
Social indicators,Indicateur social
Social innovation,Innovation sociale
Social insurance number,Numéro d'assurance sociale
Social issues,Questions sociales
Social life,Vie sociale
Social media,Média social
Social movement,Mouvement social
Social policy,Politique sociale
Social problems,Problème social
Social programs,Programmes sociaux
Social rights,Droits sociaux
Social sciences,Sciences sociales
Social security,Sécurité sociale
Social services,Services sociaux
Social statistics,Statistiques sociales
Social structure,Structure sociale
Social surveys,Enquête sociale
Social trends,Tendances sociales
Socioeconomic analysis,Analyse socio-économique
Socioeconomic data,Données socio-économiques
Sociology,Sociologie
Software,Logiciel
Soil,Sol
Soil conservation,Préservation des sols
Soil pollution,Pollution des sols
Soil quality,Qualité des sols
Soil taxonomy,Classification des sols
Solar energy,Énergie solaire
Solar heating,Chauffage solaire
Sole proprietorships,Entreprise individuelle
Solvents,Solvant
Sound archives,Archives sonores
Sound recordings,Enregistrement sonore
Sovereignty,Souveraineté
Space exploration,Exploration spatiale
Space sciences,Sciences de l'espace
Space station,Station orbitale
Space technology,Technologie spatiale
Special libraries,Bibliothèque spécialisée
Specifications,Spécification
Spectrum management,Gestion du spectre
Sponsorship,Commandite
Sports,Sport
Sports events,Événement sportif
Staffing,Dotation
Stamps,Timbre
Standard of living,Niveau de vie
Standardization,Normalisation
Standards,Norme
Standing offers,Offre permanente
State ceremonial,Cérémonial d'État
Statements,Déclaration
Stationery,Papeterie
Statistical analysis,Analyse statistique
Statistical profile,Profil statistique
Statistics,Statistiques
Status Indians,Indien inscrit
Status of disabled persons,Condition de la personne handicapée
Status of the elderly,Condition de la personne âgée
Status of women,Condition de la femme
Steel,Acier
Stem cells,Cellule souche
Stewardship,Gérance
Stock markets,Marché des valeurs
Storage,Entreposage
Storms,Tempête
Strategic management,Gestion stratégique
Strategies,Stratégie
Stratigraphy,Stratigraphie
Streams,Ruisseau
Structural geology,Tectonique
Student labour,Travail étudiant
Student loans,Prêt étudiant
Students,Étudiant
Studies abroad,Études à l'étranger
Style manuals,Guide de rédaction
Submarines,Sous-marin
Submissions,Présentation
Subsidized housing,Logement subventionné
Suicide,Suicide
Supervision,Supervision
